nb_items,unique_codes
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
3.0,3
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
3.0,3
3.0,3
3.0,3
2.0,2
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
4.0,4
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
12.0,12
3.0,3
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
7.0,7
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
7.0,7
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
5.0,5
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
3.0,3
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
2.0,2
5.0,5
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
4.0,4
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
12.0,12
2.0,2
2.0,2
1.0,1
2.0,2
8.0,8
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
4.0,4
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
3.0,3
3.0,3
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
2.0,2
3.0,3
1.0,1
4.0,4
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
4.0,4
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
6.0,6
3.0,3
5.0,5
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
3.0,3
1.0,1
3.0,3
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
4.0,4
8.0,8
1.0,1
1.0,1
1.0,1
2.0,2
4.0,4
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
6.0,6
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
9.0,9
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
4.0,4
4.0,4
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
4.0,4
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
4.0,4
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
5.0,5
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
2.0,2
1.0,1
4.0,4
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
5.0,5
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
6.0,6
2.0,2
10.0,10
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
10.0,10
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
7.0,3
1.0,1
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
5.0,5
3.0,3
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
3.0,3
3.0,3
2.0,2
1.0,1
2.0,2
3.0,3
2.0,2
2.0,2
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
5.0,5
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
1.0,1
4.0,4
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
4.0,4
2.0,2
4.0,4
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
3.0,3
1.0,1
4.0,4
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
4.0,4
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
5.0,5
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
6.0,6
1.0,1
3.0,3
1.0,1
1.0,1
3.0,3
2.0,2
3.0,3
4.0,4
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
4.0,4
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
9.0,9
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
5.0,5
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
1.0,1
1.0,1
3.0,3
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
4.0,4
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
2.0,2
4.0,4
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
5.0,5
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
3.0,3
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
4.0,4
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
4.0,4
5.0,5
4.0,4
2.0,2
1.0,1
2.0,2
2.0,2
4.0,4
11.0,11
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
5.0,5
1.0,1
5.0,4
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
4.0,4
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
3.0,3
1.0,1
2.0,2
3.0,3
11.0,11
3.0,3
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
17.0,17
1.0,1
4.0,4
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
3.0,3
3.0,3
2.0,2
1.0,1
7.0,7
1.0,1
2.0,2
3.0,3
3.0,3
2.0,2
2.0,2
20.0,20
2.0,2
2.0,2
2.0,2
3.0,3
4.0,4
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
4.0,4
2.0,2
4.0,4
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
20.0,20
2.0,2
2.0,2
8.0,8
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
4.0,4
3.0,3
1.0,1
5.0,5
1.0,1
2.0,2
2.0,2
1.0,1
4.0,4
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
5.0,5
1.0,1
5.0,5
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
4.0,4
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
3.0,3
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
9.0,9
2.0,2
1.0,1
1.0,1
5.0,5
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
4.0,4
1.0,1
1.0,1
2.0,2
2.0,2
3.0,3
2.0,2
3.0,3
3.0,3
2.0,2
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
3.0,3
1.0,1
4.0,4
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
4.0,4
1.0,1
1.0,1
4.0,4
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
4.0,4
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
6.0,6
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
3.0,3
1.0,1
7.0,7
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
3.0,3
1.0,1
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
8.0,5
1.0,1
3.0,3
2.0,2
2.0,2
4.0,4
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
4.0,4
3.0,3
6.0,6
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
4.0,4
1.0,1
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
5.0,5
1.0,1
3.0,3
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
5.0,5
2.0,2
2.0,2
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
7.0,7
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
5.0,5
2.0,2
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
4.0,4
2.0,2
2.0,2
2.0,2
6.0,6
1.0,1
2.0,2
3.0,3
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
1.0,1
2.0,2
1.0,1
2.0,2
17.0,17
1.0,1
3.0,3
2.0,2
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
3.0,3
1.0,1
7.0,7
3.0,3
1.0,1
1.0,1
1.0,1
4.0,4
2.0,2
2.0,2
3.0,3
1.0,1
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
7.0,7
1.0,1
3.0,3
1.0,1
4.0,4
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
4.0,4
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
5.0,5
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
2.0,2
3.0,3
3.0,3
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
2.0,2
3.0,3
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
10.0,10
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
4.0,4
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
3.0,3
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
14.0,14
1.0,1
4.0,4
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
4.0,4
1.0,1
4.0,4
1.0,1
4.0,4
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
3.0,3
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
3.0,3
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
3.0,3
3.0,3
2.0,2
1.0,1
2.0,2
5.0,5
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
3.0,3
6.0,6
2.0,2
4.0,4
2.0,2
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
3.0,3
4.0,4
1.0,1
2.0,2
3.0,3
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
3.0,3
4.0,4
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
6.0,6
2.0,2
4.0,4
5.0,5
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
4.0,4
1.0,1
2.0,2
3.0,3
2.0,2
1.0,1
1.0,1
3.0,3
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
2.0,2
3.0,3
1.0,1
2.0,2
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
3.0,3
2.0,2
3.0,3
3.0,3
1.0,1
1.0,1
1.0,1
3.0,3
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
2.0,2
2.0,2
3.0,3
2.0,2
6.0,6
2.0,2
1.0,1
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
2.0,2
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
1.0,1
1.0,1
5.0,5
1.0,1
1.0,1
1.0,1
1.0,1
2.0,2
1.0,1
3.0,3
3.0,3
1.0,1
3.0,3
3.0,3
2.0,2
2.0,2
1.0,1
3.0,3
2.0,2
3.0,3
1.0,1
3.0,3
1.0,1
1.0,1
3.0,3
1.0,1
2.0,2
2.0,2
2.0,2
2.0,2
1.0,1
6.0,6
1.0,1
